year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url
2002,Porsche,996 911,"132,368 miles",Clean (CA),"Santa Monica, CA 90404",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,2,20401,4/19/22,https://carsandbids.com/auctions/pgJSoFc1/2002-porsche-911-targa-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da6e8a1d4896127a9d2adf83461993b45339474c/photos/3R0G8GmN-4VNeZ2_9P4-FxHe49P_ky.jpeg?t=165222694672"
2001,Porsche,996 911,"19,134 miles",Clean (PA),"King Of Prussia, PA 19406",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,4,34942,8/18/23,https://carsandbids.com/auctions/TAtzSqex/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/r40y0ZxP-unom03eaXk-(edit).jpg?t=169157734390"
2004,Porsche,996 911,"60,560 miles",Clean (FL),"Tampa, FL 33614",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Seal Grey Metallic,Black,2,30320,1/27/24,https://carsandbids.com/auctions/eCr0uIam/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3z7bbMmd-u-fnJqQYOV-(edit).jpg?t=170545503149"
2003,Porsche,996 911,"101,994 miles",Clean (NY),"Beacon, NY 12508",3.6L H6,4WD/AWD,Manual (6-Speed),Convertible,Black,Savanna Beige,2,21174,12/12/20,https://carsandbids.com/auctions/Vm3Vpazo/2002-porsche-911-carrera-4-cabriolet-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/NL1EqEbUf2.Iva48neyb.jpg?t=160754552759"
2000,Porsche,996 911,"94,058 miles",Clean (CA),"Santa Rosa, CA 95405",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Ocean Blue Metallic,Savannah Beige,5,20113,8/28/23,https://carsandbids.com/auctions/TgGoEd9S/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/171ab1e538119e13fa98382f268326fc825fdc20/photos/3OnVjlXj-XguCOGw0j2-(edit).jpg?t=169085820982"
2001,Porsche,996 911,"42,608 miles",Clean (TX),"Austin, TX 78728",3.4L Flat 6,Rear-wheel drive,Manual (6-speed),Coupe,Black,Black,4,18705,7/7/20,https://carsandbids.com/auctions/UKFNyKdP/2001-porsche-911-carrera-coupe-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/e45ac058c50aab1bf5ea0c9e644cda9a2e123001/photos/3_m6wwqH7yW.JPG?t=159459484990"
2000,Porsche,996 911,"84,851 miles",Clean (ME),"Auburn, NH 03032",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,7,16410,11/28/23,https://carsandbids.com/auctions/uCo6iVgg/2000-porsche-911-carrera-cabriolet-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/37gnMboR-ioVpP97-nU-(edit).jpg?t=170001297188"
2004,Porsche,996 911,"49,870 miles",Clean (CA),"Wrightwood, CA 92397",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Seal Grey Metallic,Graphite Grey,5,41524,10/28/24,https://carsandbids.com/auctions/C0fYsRLn/2003-porsche-911-carrera-4s-coupe-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/KZda5DdG-0G-9NUuzI8-(edit).jpg?t=172697976198"
2002,Porsche,996 911,"70,174 miles",Clean (OH),"Marysville, OH 43040",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Arctic Silver Metallic,Metropol Blue,3,16218,7/7/22,https://carsandbids.com/auctions/9bzCUpCX/2002-porsche-911-carrera-4-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/37e0d12ee547ba13beecbc1def609de677e2b565/photos/r46MW0JP-JiGzupToDI-(edit).jpg?t=165298263610"
2004,Porsche,996 911,"52,448 miles",Clean (MT),"Rhinebeck, NY 12572",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,1,30378,6/26/22,https://carsandbids.com/auctions/NKqYbd3B/2003-porsche-911-carrera-coupe-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8864cd06c16cf34eddf5229bf01bf6bfafe9d766/photos/3Bpdbdbb-gOvrj5Qd8V-(edit).jpg?t=165258302538"
