year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url
2016,BMW,F8X M4,"66,930 miles",Clean (TX),"San Antonio, TX 78216",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Mineral Grey Metallic,Black,3,34206,8/27/21,https://carsandbids.com/auctions/a1iipkOb/2016-bmw-m4-coupe
2015,BMW,F8X M4,"60,324 miles",Clean (MT),"Los Gatos, CA 95030",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Gray Metallic,Sakhir Orange,12,30588,5/14/24,https://carsandbids.com/auctions/AhdBwKCn/2015-bmw-m4-coupe
2015,BMW,F8X M4,"67,075 miles",Clean (PA),"Easton, PA 18042",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Mineral Gray Metallic,Sakhir Orange,19,26510,9/16/25,https://carsandbids.com/auctions/0AgSB3tj/2015-bmw-m4-convertible-2
2016,BMW,F8X M4,"99,362 miles",Clean (WA),"Issaquah, WA 98027",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Alpine White,Black,2,25956,9/14/24,https://carsandbids.com/auctions/sFAXhO2I/2016-bmw-m4-convertible-2
2019,BMW,F8X M4,"27,371 miles",Clean (FL),"Orlando, FL 32819",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Dakar Yellow,Silverstone,6,63796,9/23/22,https://carsandbids.com/auctions/fAPxj5eZ/2019-bmw-m4-competition-package
2017,BMW,F8X M4,"32,512 miles",Clean (CO),"Castle Rock, CO 80108",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Sakhir Orange Metallic,Sakhir Orange,5,47458,10/28/25,https://carsandbids.com/auctions/IuhvPU1S/2017-bmw-m4-coupe-competition-package-3
2015,BMW,F8X M4,"109,599 miles",Clean (CA),"Campbell, CA 95008",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Alpine White,Black/Anthracite,11,24436,3/3/24,https://carsandbids.com/auctions/0vIhroAI/2015-bmw-m4-coupe
2016,BMW,F8X M4,"81,532 miles",Clean (TX),"San Antonio, TX 78213",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Black,5,26631,2/15/25,https://carsandbids.com/auctions/bqV5vliO/2016-bmw-m4-coupe
2016,BMW,F8X M4,"72,681 miles",Clean (CA),"San Jose, CA 95112",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Austin Yellow Metallic,Black,28,28310,12/28/25,https://carsandbids.com/auctions/jtu6K2jU/2016-bmw-m4-convertible
2018,BMW,F8X M4,"22,945 miles",Clean (GA),"Lawrenceville, GA 30044",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Yas Marina Blue,Black,3,59190,6/12/22,https://carsandbids.com/auctions/UhArQEPc/2018-bmw-m4-coupe-competition-package-v2
