year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,has_forced_induction,state
2022,Mazda,ND Miata,4200,Clean,"Miami, FL 33155",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Platinum Quartz Metallic,Terracotta,6,26636,11/12/23,https://carsandbids.com/auctions/VYUXDJvB/2022-mazda-mx-5-miata-grand-touring,0,FL
2019,Mazda,ND Miata,16800,Clean,"Pompano Beach, FL 33076",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black Mica,Black,4,21483,08/31/24,https://carsandbids.com/auctions/s7BAnCMk/2019-mazda-mx-5-miata-sport,0,FL
2017,Mazda,ND Miata,49000,Clean,"Pilot Point, TX 76258",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Meteor Gray Mica,Black,5,18460,07/17/24,https://carsandbids.com/auctions/yVk1VZQQ/2017-mazda-mx-5-miata-club,0,TX
2019,Mazda,ND Miata,29400,Clean,"Baltimore, MD 21224",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Auburn,3,20877,10/16/25,https://carsandbids.com/auctions/e97hZq3t/2019-mazda-mx-5-miata-rf-grand-touring,0,MD
2019,Mazda,ND Miata,3600,Clean,"Seattle, WA 98112",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,1,38878,07/07/24,https://carsandbids.com/auctions/SmHQVnTE/2019-mazda-mx-5-miata-rf-30th-anniversary-edition,0,WA
2016,Mazda,ND Miata,54500,Clean,"Greer, SC 29650",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,13,23677,04/25/25,https://carsandbids.com/auctions/v2EpiVaK/2016-mazda-mx-5-miata-club,1,SC
2016,Mazda,ND Miata,72600,Clean,"Manassas, VA 20112",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,17,17462,06/29/22,https://carsandbids.com/auctions/42N7xCqt/2016-mazda-mx-5-miata-club,0,VA
2018,Mazda,ND Miata,6500,Clean,"Burlington, NC 27215",2.0L I4,Rear-wheel drive,Automatic (6-Speed),Convertible,Machine Gray Metallic,Black/Gray,0,20509,02/20/26,https://carsandbids.com/auctions/SPDM2mFc/2018-mazda-mx-5-miata-rf-grand-touring,0,NC
2021,Mazda,ND Miata,75200,Clean,"Manville, NJ 08835",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic White,Black,4,17391,02/20/26,https://carsandbids.com/auctions/xlbNXL6F/2021-mazda-mx-5-miata-club,0,NJ
2017,Mazda,ND Miata,22200,Clean,"Remsenburg, NY 11960",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,13,23922,12/13/22,https://carsandbids.com/auctions/06mJ0Fhq/2017-mazda-mx-5-miata-rf-grand-touring,1,NY
2016,Mazda,ND Miata,25000,Clean,"Raleigh, NC 27612",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red,Black/Red,2,27524,08/08/23,https://carsandbids.com/auctions/M1YmBWLg/2016-mazda-mx-5-miata-grand-touring,0,NC
2017,Mazda,ND Miata,18500,Clean,"Indianapolis, IN 46201",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,1,16206,09/17/24,https://carsandbids.com/auctions/IEMVloJ1/2017-mazda-mx-5-miata-rf-grand-touring,0,IN
2016,Mazda,ND Miata,25000,Clean,"Pasadena, CA 91104",2.0L Turbocharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic,Black,22,17903,07/28/25,https://carsandbids.com/auctions/IDC9wylR/2016-mazda-mx-5-miata-grand-touring,1,CA
2019,Mazda,ND Miata,3200,Clean,"Oakville, ON, Canada",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,2,29603,07/28/22,https://carsandbids.com/auctions/NJ2SHrL0/2019-mazda-mx-5-miata-30th-anniversary-edition,0,ON
2016,Mazda,ND Miata,25200,Clean,"Fort Lauderdale, FL 33325",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Meteor Gray Mica,Black,0,19669,09/14/25,https://carsandbids.com/auctions/akypCmWG/2016-mazda-mx-5-miata-club,0,FL
2017,Mazda,ND Miata,18100,Clean,"Hercules, CA 94547",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black Ceramic,13,24651,08/20/23,https://carsandbids.com/auctions/LIGQFtHP/2017-mazda-mx-5-miata-rf-club,0,CA
2019,Mazda,ND Miata,15300,Clean,"Portland, OR 97229",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black Mica,Black,0,29377,10/29/23,https://carsandbids.com/auctions/t7wxzPIT/2019-mazda-mx-5-miata-rf-club,0,OR
2024,Mazda,ND Miata,2600,Clean,"Plano, TX 75074",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Aero Gray,Black,7,29808,12/06/25,https://carsandbids.com/auctions/rGMYXAZN/2024-mazda-mx-5-miata-club,0,TX
2016,Mazda,ND Miata,77600,Clean,"Missouri City, TX 77459",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black,Black,7,12803,07/20/25,https://carsandbids.com/auctions/HQ5xiAHk/2016-mazda-mx-5-miata-club,0,TX
2019,Mazda,ND Miata,13700,Clean,"Pigeon Forge, TN 37863",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,1,25049,04/10/25,https://carsandbids.com/auctions/8Bcnvxcj/2019-mazda-mx-5-miata-rf-grand-touring,0,TN
2019,Mazda,ND Miata,4600,Clean,"Lexington, SC 29072",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,6,40534,04/03/22,https://carsandbids.com/auctions/zb5JIGSu/2019-mazda-mx-5-miata-rf-30th-anniversary-edition,0,SC
2016,Mazda,ND Miata,61400,Clean,"Phoenix, AZ 85027",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,9,16126,01/13/26,https://carsandbids.com/auctions/ayEgIp0d/2016-mazda-mx-5-miata-grand-touring,1,AZ
2019,Mazda,ND Miata,7100,Clean,"San Jose, CA 95134",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,3,35266,08/14/23,https://carsandbids.com/auctions/QCN9TOEW/2019-mazda-mx-5-miata-rf-30th-anniversary-edition,0,CA
2017,Mazda,ND Miata,5900,Clean,"Jamaica Plain, MA 02130",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black Mica,Black,10,24374,02/12/24,https://carsandbids.com/auctions/1V21cagI/2017-mazda-mx-5-miata-rf-club,0,MA
2019,Mazda,ND Miata,19700,Clean,"Costa Mesa, CA 92626",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,7,29267,02/14/25,https://carsandbids.com/auctions/YwZYSoWq/2019-mazda-mx-5-miata-30th-anniversary-edition,0,CA
2022,Mazda,ND Miata,1200,Clean,"Diablo, CA 94528",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,0,30053,10/07/23,https://carsandbids.com/auctions/do72p3oF/2022-mazda-mx-5-miata-rf-grand-touring,0,CA
2016,Mazda,ND Miata,36300,Clean,"Loomis, CA 95650",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic,Black,7,21775,04/11/24,https://carsandbids.com/auctions/RoFIcnBC/2016-mazda-mx-5-miata-club,0,CA
2019,Mazda,ND Miata,7100,Clean,"San Jose, CA 95134",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,3,34930,07/31/23,https://carsandbids.com/auctions/Vq8cCOoH/2019-mazda-mx-5-miata-rf-30th-anniversary-edition,0,CA
2024,Mazda,ND Miata,4900,Clean,"Chapel Hill, NC 27516",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Zircon Sand Metallic,Black,10,31753,02/21/26,https://carsandbids.com/auctions/sHO887zK/2024-mazda-mx-5-miata-grand-touring,0,NC
