year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url,has_forced_induction,state
1999,Porsche,996 911,106310,Clean,"Scottsdale, AZ 85255",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver,Grey,13,16308,4/10/24,https://carsandbids.com/auctions/Vbq9Ew6A/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/365AyOA9-8YOq6y8eb1-(edit).jpg?t=171382617739",0,AZ
2002,Porsche,996 911,84464,Clean,"Beacon, NY 12508",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Savanna Beige,2,19944,12/26/20,https://carsandbids.com/auctions/xWjywf6B/2002-porsche-911-carrera-4-cabriolet-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/NL1EqEbUf2.Iva48neyb.jpg?t=160754552759",0,NY
2002,Porsche,996 911,139243,Clean,"Monterey Park, CA 91755",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Graphite Grey,0,18643,12/1/25,https://carsandbids.com/auctions/bvfLuxsy/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/92vDVwvE-5J31zYq/edit/JF0GL.jpg?t=176375213446",0,CA
2004,Porsche,996 911,100549,Clean,"New London, CT 06320",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Lapis Blue Metallic,Graphite Grey,2,25705,8/21/24,https://carsandbids.com/auctions/isEdAAEe/2004-porsche-911-carrera-coupe-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8bbf0f64fbfad81f6867cff798d92495738b23a7/photos/9aZwdBml-0Va7nQNzBS-(edit).jpg?t=172183623582",0,CT
1999,Porsche,996 911,68315,Clean,"Granite Bay, CA 95746",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Blue,Grey,2,15064,9/18/25,https://carsandbids.com/auctions/ay0x1BAZ/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/1477bbe21e8d6b5e719c7c3ccab577fd47dd8cc3/photos/rkGlg28W-VooAB41/edit/6Ifgc.jpg?t=175571704541",0,CA
2003,Porsche,996 911,48409,Clean,"Rhinebeck, NY 12572",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,1,31622,5/20/22,https://carsandbids.com/auctions/tTN8WurW/2003-porsche-911-carrera-coupe-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8864cd06c16cf34eddf5229bf01bf6bfafe9d766/photos/3Bpdbdbb-gOvrj5Qd8V-(edit).jpg?t=165258302538",0,NY
2001,Porsche,996 911,118068,Clean,"Ben Lomond, CA 95005",3.6L Flat-6,4WD/AWD,Automatic (5-Speed),Coupe,Orient Red Metallic,Natural Grey,4,27747,10/2/20,https://carsandbids.com/auctions/bT6mXZe0/2001-porsche-911-turbo-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/911-turbo-crop-1021.7LK82TT4U.jpg?t=160331440157",0,CA
2003,Porsche,996 911,87495,Clean,"Cincinnati, OH 45227",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,GT Silver Metallic,Natural Grey,4,38106,8/25/22,https://carsandbids.com/auctions/e9DyF5QH/2004-porsche-911-carrera-coupe-40th-anniversary-edition-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/30R0pLAp-nQJ3fW0Zwu-(edit).jpg?t=165816935950",0,OH
2003,Porsche,996 911,95874,Clean,"Loveland, CO 80538",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Lapis Blue Metallic,Natural Brown,3,19312,11/15/25,https://carsandbids.com/auctions/wOc8QyU7/2003-porsche-911-carrera-4-cabriolet-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/exterior/3O1XeaZg-BO1wkeu/edit/Jl8YH.jpg?t=176273113957",0,CO
2001,Porsche,996 911,84687,Clean,"Chicago, IL 60622",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,4,19587,5/1/24,https://carsandbids.com/auctions/JByVKFvb/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/rjAvjyY0-fbmgH59tXo-(edit).jpg?t=171564623526",0,IL
