year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url,has_forced_induction,state
1999,Porsche,996 911,79500,Clean,"Ocean Springs, MS 39564",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver,Gray,14,18500,5/23/24,https://carsandbids.com/auctions/3yXqkl4a/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/224865fcf1349ec53e0faac653358675b6461a0e/photos/3qw4qpE5-koHpuWNkW6-(edit).jpg?t=171537882768",0,MS
1999,Porsche,996 911,114600,Clean,"Pensacola, FL 32504",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Ocean Blue Metallic,Savannah Beige,4,16250,5/8/24,https://carsandbids.com/auctions/KDbPvyMa/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/224865fcf1349ec53e0faac653358675b6461a0e/photos/r4DBzNRP-KcdTjepbg7-(edit).jpg?t=171284498040",0,FL
2001,Porsche,996 911,68500,Clean,"Elk Grove, CA 95624",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Ferrari Yellow,Black,21,68000,5/2/24,https://carsandbids.com/auctions/9AMMlR8v/2001-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da6e8a1d4896127a9d2adf83461993b45339474c/photos/9lk816DG-QQ2hbGnbGS-(edit).jpg?t=171353308652",1,CA
1999,Porsche,996 911,121400,Clean,"Scottsdale, AZ 85255",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver,Grey,14,15900,5/1/24,https://carsandbids.com/auctions/KPaRM1J2/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/365AyOA9-8YOq6y8eb1-(edit).jpg?t=171382617739",0,AZ
1999,Porsche,996 911,147700,Clean,"Concord, CA 94519",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Glacier White,Savanna Beige,4,18600,4/26/24,https://carsandbids.com/auctions/30lkLoBp/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d32c8dde23a1411d0ef2e05bea168897e96c369b/photos/3zJA7eN4-XI5z1xgN4k-(edit).jpg?t=171338423791",0,CA
2004,Porsche,996 911,83800,Clean,"Chicago, IL 60622",3.6L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Seal Grey Metallic,Black,0,20196,4/24/24,https://carsandbids.com/auctions/3qwymL2y/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/9lkZdWJg-qG6VTOojbx-(edit).jpg?t=171319852551",0,IL
2004,Porsche,996 911,112900,Clean,"Los Gatos, CA 95032",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Black,4,40000,4/19/24,https://carsandbids.com/auctions/rk2NmzE4/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/35Nq01lR-4GwxDskbPO-(edit).jpg?t=171190636585",1,CA
1999,Porsche,996 911,125100,Clean,"Keller, TX 76244",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Black,Savannah Beige,2,12855,4/18/24,https://carsandbids.com/auctions/rJdRzavv/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/3OpmEW7z-8J56Gb3l-I-(edit).jpg?t=171279122267",0,TX
1999,Porsche,996 911,83200,Clean,"Xenia, OH 45385",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savannah Beige,1,31000,4/11/24,https://carsandbids.com/auctions/rJyR2axY/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/171ab1e538119e13fa98382f268326fc825fdc20/photos/37eOOlRq-V8tFSsVQqh-(edit).jpg?t=171190862642",0,OH
2002,Porsche,996 911,118400,Clean,"Los Angeles, CA 90066",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Lapis Blue Metallic,Graphite Grey,6,28161,4/10/24,https://carsandbids.com/auctions/Km1WLV7N/2002-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3B0VBjeX-W4HJNFqUhQ-(edit).jpg?t=171131271380",0,CA
2003,Porsche,996 911,74600,Clean,"Warren, NJ 07059",3.6L Supercharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Artic Silver Metallic,Black,11,36996,4/8/24,https://carsandbids.com/auctions/rkyxbNRl/2003-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/KV7mDGQr-hlRmASL6we-(edit).jpg?t=171017903818",1,NJ
2004,Porsche,996 911,79600,Clean,"Lockport, NY 14094",3.6L Flat-6,4WD/AWD,Automatic (5-Speed),Convertible,Guards Red,Black,3,23550,4/4/24,https://carsandbids.com/auctions/3pNvGvOB/2004-porsche-911-carrera-4s-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/r4dEP4YL-jnpMJpBeBD-(edit).jpg?t=171089276659",0,NY
2002,Porsche,996 911,97400,Clean,"Medford, OR 97504",3.6L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Seal Grey Metallic,Black,2,16250,4/3/24,https://carsandbids.com/auctions/3L2Rjday/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/KVbwkeL0-xquLxSArsf-(edit).jpg?t=171138767571",0,OR
2003,Porsche,996 911,146400,Clean,"Pebble Beach, CA 93953",3.6L Turbocharged Flat-6,4WD/AWD,Automatic (5-Speed),Coupe,Seal Grey Metallic,Black,2,35000,3/27/24,https://carsandbids.com/auctions/35wxqlqR/2003-porsche-911-turbo,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/rJZxNmwE-tj_2oh5wbY-(edit).jpg?t=171084565292",1,CA
1999,Porsche,996 911,50500,Clean,"Dallas, TX 75230",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arena Red Metallic,Graphite Grey,8,23000,3/26/24,https://carsandbids.com/auctions/9A6LzPLj/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/KPA8vMLa-kxea5Wx-MK-(edit).jpg?t=171070659214",0,TX
2001,Porsche,996 911,72200,Clean,"McKinney, TX 75071",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver,Black,12,26500,3/21/24,https://carsandbids.com/auctions/98ZMQ8AX/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ee7f173e46ec801a48d1673c50f9cebaa1bf2854/photos/3gDBzRRG-XQJdJQ1ynH-(edit).jpg?t=171019480334",0,TX
2001,Porsche,996 911,69300,Clean,"Garland, TX 75040",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,6,24750,3/12/24,https://carsandbids.com/auctions/r4VJBV1V/2001-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/9adMXvGX-L2Bq-8_WGj-(edit).jpg?t=170940347120",0,TX
2003,Porsche,996 911,19000,Clean,"Scottsdale, AZ 85259",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Lapis Blue Metallic,Cinnamon Brown,21,67300,3/6/24,https://carsandbids.com/auctions/KV7Avdm0/2003-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/9eln5NeN-7LrDlSFjAT-(edit).jpg?t=170861966047",1,AZ
2004,Porsche,996 911,27900,Clean,"San Antonio, TX 78216",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Cobalt Blue Metallic,Black,5,104500,3/5/24,https://carsandbids.com/auctions/KVpYzDzz/2004-porsche-911-gt3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/9adVAEYA-DyLoj9A-pn.jpeg?t=170905636692",0,TX
2001,Porsche,996 911,81900,Clean,"Great Falls, VA 22066",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Slate Gray Metallic,Gray,0,24250,2/27/24,https://carsandbids.com/auctions/rGaRYLMd/2001-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/e7a5ae4474101b60a9c5c5f94dc3b42953df1728/photos/9e7N2vak-nvURojHfzs-(edit).jpg?t=170802211666",0,VA
2004,Porsche,996 911,92900,Clean,"Carrollton, TX 75007",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Midnight Blue Metallic,Graphite Gray,0,45000,2/26/24,https://carsandbids.com/auctions/KZmXmyqA/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/KYYgovO5-RkG-LqauOl-(edit).jpg?t=170801714448",1,TX
2004,Porsche,996 911,56500,Clean,"Tampa, FL 33614",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Seal Grey Metallic,Black,2,29000,1/30/24,https://carsandbids.com/auctions/9lXeOvqE/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3z7bbMmd-u-fnJqQYOV-(edit).jpg?t=170545503149",0,FL
2005,Porsche,996 911,17300,Clean,"Oakville, ON, Canada",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,7,103996,1/4/24,https://carsandbids.com/auctions/K1ZwOzqz/2005-porsche-911-gt3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/30Rmmd5P-759lHLFSU9-(edit).jpg?t=170364468832",0,ON
2002,Porsche,996 911,46500,Clean,"Vienna, VA 22182",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Seal Grey Metallic,Black,1,30500,12/29/23,https://carsandbids.com/auctions/rjgPk770/2002-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ee7f173e46ec801a48d1673c50f9cebaa1bf2854/photos/3LDB6xEX-6B0__opNeT-(edit).jpg?t=170302356735",0,VA
2001,Porsche,996 911,69500,Clean,"Green Bay, WI 54301",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Seal Grey Metallic,Graphite Grey,0,29711,12/22/23,https://carsandbids.com/auctions/36kAvwXA/2001-porsche-911-carrera-4-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/224865fcf1349ec53e0faac653358675b6461a0e/photos/rMWe5yp8-UOnVLouymu-(edit).jpg?t=170234111440",0,WI
2004,Porsche,996 911,73700,Clean,"Deal, NJ 07723",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,0,31900,12/11/23,https://carsandbids.com/auctions/KPlp7D2K/2004-porsche-911-carrera-4s-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/e256f6264a44b30223df03b5e6096b472b5a652a/photos/3Le5LwnZ-z9ObZe8Y_L-(edit).jpg?t=169999815070",0,NJ
2000,Porsche,996 911,181600,Registered,"Niagara Falls, ON, Canada",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Purple,Black,10,11000,12/7/23,https://carsandbids.com/auctions/rE1N7Vgb/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/KZRNNp7O-WmiR9iSiZM-(edit).jpg?t=170114677767",0,ON
2002,Porsche,996 911,118000,Clean,"Atlanta, GA 30342",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Midnight Blue Metallic,Graphite Grey,4,23750,12/6/23,https://carsandbids.com/auctions/36EA7pxx/2002-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/rNbVGoJP-RiO2fi474j-(edit).jpg?t=170113993375",0,GA
2002,Porsche,996 911,100200,Clean,"Sykesville, MD 21784",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Olive Green,Black/Tartan,14,22500,11/30/23,https://carsandbids.com/auctions/3o7MpNVg/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/35JMYZ8R-9WwxFtH9Vc-(edit).jpg?t=170013198707",0,MD
2000,Porsche,996 911,87300,Clean,"Auburn, NH 03032",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,7,16500,11/29/23,https://carsandbids.com/auctions/9XMoGeQN/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/37gnMboR-ioVpP97-nU-(edit).jpg?t=170001297188",0,NH
2002,Porsche,996 911,5300,Clean,"New Orleans, LA 70115",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Basalt Black Metallic,Black,0,75500,11/28/23,https://carsandbids.com/auctions/9XpmYgGx/2002-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/304NWBgV-0rlN4eIhJW-(edit).jpg?t=169963376600",1,LA
2003,Porsche,996 911,110600,Clean,"Raleigh, NC 27608",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Black,1,21000,11/27/23,https://carsandbids.com/auctions/KPY4JLjk/2003-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ee7f173e46ec801a48d1673c50f9cebaa1bf2854/photos/rjZPR7Qp-Me_T5Suzlb-(edit).jpg?t=170025796474",0,NC
2002,Porsche,996 911,89300,Clean,"Fort Lauderdale, FL 33330",3.6L Turbocharged Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Carrara White,Black,49,46000,11/20/23,https://carsandbids.com/auctions/3LNBE1wX/2002-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/3BBa1eOB-fHtMP4V_16-(edit).jpg?t=169944623190",1,FL
1999,Porsche,996 911,60100,Clean,"Zionsville, IN 46077",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Black,Black,2,19000,11/17/23,https://carsandbids.com/auctions/KYYP8wPL/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/rNYxEGXk-Q6b83HTvus-(edit).jpg?t=169895826882",0,IN
2004,Porsche,996 911,160600,Clean,"Salt Lake City, UT 84115",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Black,Black,0,19250,11/15/23,https://carsandbids.com/auctions/301ybngP/2004-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/r4V7kpzP-K6fcBKCl-Z-(edit).jpg?t=169905951671",0,UT
2002,Porsche,996 911,51900,Clean,"Bristol, RI 02809",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,7,30250,11/9/23,https://carsandbids.com/auctions/9eMWR6YA/2002-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/rkVZNAGg-dqMfFFi924-(edit).jpg?t=169878842970",0,RI
2002,Porsche,996 911,80000,Clean,"Boston, MA 02121",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,7,49500,10/24/23,https://carsandbids.com/auctions/rJZRlzZw/2002-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/rNMJD0dG-FMuyh2U7gt-(edit).jpg?t=169678158974",1,MA
2001,Porsche,996 911,115100,Clean,"Cincinnati, OH 45211",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Speed Yellow,Black,5,24500,9/25/23,https://carsandbids.com/auctions/3zbm4YzJ/2001-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/e256f6264a44b30223df03b5e6096b472b5a652a/photos/9e72VPpj-rbXTiAEKqE-(edit).jpg?t=169447416689",0,OH
1999,Porsche,996 911,68000,Clean,"Miami, FL 33166",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Guards Red,Savanna Beige,1,23750,9/6/23,https://carsandbids.com/auctions/rkdzzX2g/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/3vW1O5zv-nq4LTuj3yt-(edit).jpg?t=169293714963",0,FL
2000,Porsche,996 911,102300,Clean,"Santa Rosa, CA 95405",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Ocean Blue Metallic,Savannah Beige,5,22000,8/28/23,https://carsandbids.com/auctions/9Xp8o8Ap/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/171ab1e538119e13fa98382f268326fc825fdc20/photos/3OnVjlXj-XguCOGw0j2-(edit).jpg?t=169085820982",0,CA
2004,Porsche,996 911,57800,Clean,"El Paso, TX 79924",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Speed Yellow,Black,1,54750,8/22/23,https://carsandbids.com/auctions/9n2VYQjG/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/98ygbjGm-u1zF-K_DxA-(edit).jpg?t=169173710676",1,TX
2001,Porsche,996 911,22100,Clean,"King Of Prussia, PA 19406",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,4,34000,8/21/23,https://carsandbids.com/auctions/3018qA7R/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/r40y0ZxP-unom03eaXk-(edit).jpg?t=169157734390",0,PA
2002,Porsche,996 911,84600,Clean,"Turlock, CA 95382",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Meridian Metallic,Natural Brown,1,24000,8/17/23,https://carsandbids.com/auctions/9lEeLPxZ/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ea93686cb7f6bba23b9693c4dac92c0715d7c4cd/photos/92xjPM06-KvhlTmzldg-(edit).jpg?t=169096508177",0,CA
1999,Porsche,996 911,90000,Clean,"Fair Haven, NJ 07704",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arena Red Metallic,Black,5,25250,8/11/23,https://carsandbids.com/auctions/K1D8w2A2/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/KZeA1yvR-4oJdeeYrHI-(edit).jpg?t=169059070765",0,NJ
2001,Porsche,996 911,71000,Clean,"Pottstown, PA 19465",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,2,24500,8/9/23,https://carsandbids.com/auctions/3vQ08JZk/2001-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/rEYGDeAb-UT9iT9GENl-(edit).jpg?t=169059173712",0,PA
2003,Porsche,996 911,47000,Clean,"Syosset, NY 11791",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Seal Grey Metallic,Black,6,55500,7/28/23,https://carsandbids.com/auctions/rwWQvZEp/2003-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/KmDyPXEm-2EOh9vlhiN-(edit).jpg?t=168973751065",1,NY
2000,Porsche,996 911,129500,Clean,"Mill Valley, CA 94941",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver,Metropol Blue,4,19250,7/7/23,https://carsandbids.com/auctions/30MXgOjV/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/06956f6eb54f21d74be5cf53e59e11049519e955/photos/3RAZDaQm-1TQFStduvl-(edit).jpg?t=168674384444",0,CA
1999,Porsche,996 911,155900,Clean,"Vero Beach, FL 32962",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Ocean Blue,Metropol Blue,2,14911,7/7/23,https://carsandbids.com/auctions/rMkvZ2qL/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/rGl4bejX--741RgD_Dp-(edit).jpg?t=168779103765",0,FL
2001,Porsche,996 911,72900,Clean,"Campbell, CA 95008",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Lapis Blue Metallic,Metropol Blue,3,28000,7/5/23,https://carsandbids.com/auctions/Kd2Anlbb/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/e256f6264a44b30223df03b5e6096b472b5a652a/photos/K1eLM05M-G0sesh_IF2-(edit).jpg?t=168691879189",0,CA
2003,Porsche,996 911,106000,Clean,"Santa Clarita, CA 91387",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Black,Graphite Grey,1,33500,6/29/23,https://carsandbids.com/auctions/K1yR8M12/2003-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/KYyxZpJM-Rb8Rvf0GNa-(edit).jpg?t=168693774100",0,CA
2002,Porsche,996 911,64300,Clean,"Inverness, CA 94937",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Lapis Blue Metallic,Graphite Grey,4,22250,6/28/23,https://carsandbids.com/auctions/37gYJVJR/2002-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3pn2N6ZW-CtS4QZAx04-(edit).jpg?t=168701721662",0,CA
2001,Porsche,996 911,107900,Clean,"San Jose, CA 95129",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Orient Red Metallic,Black,4,23912,6/27/23,https://carsandbids.com/auctions/3vd0YNVv/2001-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ee7f173e46ec801a48d1673c50f9cebaa1bf2854/photos/KYGB0q8w-M-MmGDqF_p-(edit).jpg?t=168677424716",0,CA
2003,Porsche,996 911,138000,Clean,"Oviedo, FL 32765",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Seal Grey Metallic,Black,8,19750,6/21/23,https://carsandbids.com/auctions/35MvZQzj/2003-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/06956f6eb54f21d74be5cf53e59e11049519e955/photos/36NaPEpx-K_XX4VWlD8-(edit).jpg?t=168573199915",0,FL
2003,Porsche,996 911,32200,Clean,"Miami, FL 33166",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Graphite Grey,3,40000,6/2/23,https://carsandbids.com/auctions/3gdOmdzR/2003-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/37beNOXA-Kw5_dDw-GI-(edit).jpg?t=168497368959",0,FL
2005,Porsche,996 911,27600,Clean,"King Of Prussia, PA 19406",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Black,6,77500,5/30/23,https://carsandbids.com/auctions/3LqQRebG/2005-porsche-911-turbo-s-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/r4qldXEA-V5v7MJyqh8-(edit).jpg?t=168463336600",1,PA
1999,Porsche,996 911,49700,Clean,"Saint Charles, MO 63303",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Ocean Blue Metallic,Savanna Beige,1,24250,5/16/23,https://carsandbids.com/auctions/rkVz2e0b/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/9X26DEnx-DTydYO54r1-(edit).jpg?t=168316161286",0,MO
2002,Porsche,996 911,9500,Clean,"Warwick, RI 02886",3.6L Turbocharged Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Black,Black,0,135000,5/11/23,https://carsandbids.com/auctions/30Q2ANRj/2002-porsche-911-gt2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/rG5gR75g-f7S9Qwp7Ky-(edit).jpg?t=168271841087",1,RI
2004,Porsche,996 911,106700,Clean,"Fort Lauderdale, FL 33331",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Seal Grey Metallic,Graphite Grey,13,21161,5/9/23,https://carsandbids.com/auctions/9XAkqdz3/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/3pAPOMlg-EeaLE0CDAfJ2-KadgRW9vSg.jpg?t=168271544645",0,FL
